name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
5-meo-dalt,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,medium
5-MEO-DET,serotonergic-tryptamines-and-lsd,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
5-meo-dibf,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-MEO-DIPT,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,medium
5-MEO-DMT,serotonergic-tryptamines-and-lsd,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,high
5-meo-dpt,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-MEO-MET,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-MEO-MIPT,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
5-MeO-NET,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-MEO-NiPT,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-MEO-NMT,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,low
5-MEO-PYR-T,serotonergic-tryptamines-and-lsd,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,medium
5-MEO-TMT,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-MES-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5-Methoxy-7,N,N-trimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-methoxy-N-methyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-methoxy-N-methyltryptamine hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Methoxyindole-3-acetonitrile,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-methoxytryptamine hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,medium
5-Methyl-1H-indole-2-ethanamine hydrochloride,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-methyl-bk-mdea,stimulants-cathinones,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-methyl-D-tryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
